Weight (in Lbs)	Zone -02	Zone -03	Zone -04	Zone -05	Zone -06	Zone -07	Zone -08
97	$114.88 	$132.76 	$163.93 	$232.91 	$396.24 	$404.17 	$412.26 
98	$115.52 	$133.43 	$164.60 	$233.59 	$405.53 	$413.64 	$421.92 
99	$116.16 	$134.10 	$168.49 	$247.19 	$412.48 	$432.24 	$445.82 
100	$116.80 	$144.80 	$187.20 	$264.00 	$424.00 	$479.20 	$494.40 
101	$117.97 	$146.25 	$189.07 	$266.64 	$428.24 	$483.99 	$499.34 
102	$119.14 	$147.70 	$190.94 	$269.28 	$432.48 	$488.78 	$504.29 
103	$120.30 	$149.14 	$192.82 	$271.92 	$436.72 	$493.58 	$509.23 
104	$121.47 	$150.59 	$194.69 	$274.56 	$440.96 	$498.37 	$514.18 
105	$122.64 	$152.04 	$196.56 	$277.20 	$445.20 	$503.16 	$519.12 
106	$123.81 	$153.49 	$198.43 	$279.84 	$449.44 	$507.95 	$524.06 
107	$124.98 	$154.94 	$200.30 	$282.48 	$453.68 	$512.74 	$529.01 
108	$126.14 	$156.38 	$202.18 	$285.12 	$457.92 	$517.54 	$533.95 
109	$127.31 	$157.83 	$204.05 	$287.76 	$462.16 	$522.33 	$538.90 
110	$128.48 	$159.28 	$205.92 	$290.40 	$466.40 	$527.12 	$543.84 
111	$129.65 	$160.73 	$207.79 	$293.04 	$470.64 	$531.91 	$548.78 
112	$130.82 	$162.18 	$209.66 	$295.68 	$474.88 	$536.70 	$553.73 
113	$131.98 	$163.62 	$211.54 	$298.32 	$479.12 	$541.50 	$558.67 
114	$133.15 	$165.07 	$213.41 	$300.96 	$483.36 	$546.29 	$563.62 
115	$134.32 	$166.52 	$215.28 	$303.60 	$487.60 	$551.08 	$568.56 
116	$135.49 	$167.97 	$217.15 	$306.24 	$491.84 	$555.87 	$573.50 
117	$136.66 	$169.42 	$219.02 	$308.88 	$496.08 	$560.66 	$578.45 
118	$137.82 	$170.86 	$220.90 	$311.52 	$500.32 	$565.46 	$583.39 
119	$138.99 	$172.31 	$222.77 	$314.16 	$504.56 	$570.25 	$588.34 
120	$140.16 	$173.76 	$224.64 	$316.80 	$508.80 	$575.04 	$593.28 
121	$141.33 	$175.21 	$226.51 	$319.44 	$513.04 	$579.83 	$598.22 
122	$142.50 	$176.66 	$228.38 	$322.08 	$517.28 	$584.62 	$603.17 
123	$143.66 	$178.10 	$230.26 	$324.72 	$521.52 	$589.42 	$608.11 
124	$144.83 	$179.55 	$232.13 	$327.36 	$525.76 	$594.21 	$613.06 
125	$146.00 	$181.00 	$234.00 	$330.00 	$530.00 	$599.00 	$618.00 
126	$147.17 	$182.45 	$235.87 	$332.64 	$534.24 	$603.79 	$622.94 
127	$148.34 	$183.90 	$237.74 	$335.28 	$538.48 	$608.58 	$627.89 
128	$149.50 	$185.34 	$239.62 	$337.92 	$542.72 	$613.38 	$632.83 
129	$150.67 	$186.79 	$241.49 	$340.56 	$546.96 	$618.17 	$637.78 
130	$151.84 	$188.24 	$243.36 	$343.20 	$551.20 	$622.96 	$642.72 
131	$153.01 	$189.69 	$245.23 	$345.84 	$555.44 	$627.75 	$647.66 
132	$154.18 	$191.14 	$247.10 	$348.48 	$559.68 	$632.54 	$652.61 
133	$155.34 	$192.58 	$248.98 	$351.12 	$563.92 	$637.34 	$657.55 
134	$156.51 	$194.03 	$250.85 	$353.76 	$568.16 	$642.13 	$662.50 
135	$157.68 	$195.48 	$252.72 	$356.40 	$572.40 	$646.92 	$667.44 
136	$158.85 	$196.93 	$254.59 	$359.04 	$576.64 	$651.71 	$672.38 
137	$160.02 	$198.38 	$256.46 	$361.68 	$580.88 	$656.50 	$677.33 
138	$161.18 	$199.82 	$258.34 	$364.32 	$585.12 	$661.30 	$682.27 
139	$162.35 	$201.27 	$260.21 	$366.96 	$589.36 	$666.09 	$687.22 
140	$163.52 	$202.72 	$262.08 	$369.60 	$593.60 	$670.88 	$692.16 
141	$164.69 	$204.17 	$263.95 	$372.24 	$597.84 	$675.67 	$697.10 
142	$165.86 	$205.62 	$265.82 	$374.88 	$602.08 	$680.46 	$702.05 
143	$167.02 	$207.06 	$267.70 	$377.52 	$606.32 	$685.26 	$706.99 
144	$168.19 	$208.51 	$269.57 	$380.16 	$610.56 	$690.05 	$711.94 
145	$169.36 	$209.96 	$271.44 	$382.80 	$614.80 	$694.84 	$716.88 
146	$170.53 	$211.41 	$273.31 	$385.44 	$619.04 	$699.63 	$721.82 
147	$171.70 	$212.86 	$275.18 	$388.08 	$623.28 	$704.42 	$726.77 
148	$172.86 	$214.30 	$277.06 	$390.72 	$627.52 	$709.22 	$731.71 
149	$174.03 	$215.75 	$278.93 	$393.36 	$631.76 	$714.01 	$736.66 
150	$175.20 	$217.20 	$280.80 	$396.00 	$636.00 	$718.80 	$741.60 
